id,day,date,fill
10001,Thursday,20171026,
10001,Friday,20171027,
10001,Saturday,20171028,
10001,Sunday,20171029,
10001,Monday,20171030,
10001,Tuesday,20171031,
10001,Wednesday,20171101,
10001,Thursday,20171102,
10001,Friday,20171103,
10001,Saturday,20171104,
10001,Sunday,20171105,
10001,Monday,20171106,
10001,Tuesday,20171107,
10001,Wednesday,20171108,
10001,Thursday,20171109,
10002,Thursday,20171026,
10002,Friday,20171027,
10002,Saturday,20171028,
10002,Sunday,20171029,
10002,Monday,20171030,
10002,Tuesday,20171031,
10002,Wednesday,20171101,
10002,Thursday,20171102,
10002,Friday,20171103,
10002,Saturday,20171104,
10002,Sunday,20171105,
10002,Monday,20171106,
10002,Tuesday,20171107,
10002,Wednesday,20171108,
10002,Thursday,20171109,
10001,Thursday,20171026,
10001,Friday,20171027,
10001,Saturday,20171028,
10001,Sunday,20171029,
10001,Monday,20171030,
10001,Tuesday,20171031,
10001,Wednesday,20171101,
10001,Thursday,20171102,
10001,Friday,20171103,
10001,Saturday,20171104,
10001,Sunday,20171105,
10001,Monday,20171106,
10001,Tuesday,20171107,
10001,Wednesday,20171108,
10001,Thursday,20171109,
10002,Thursday,20171026,
10002,Friday,20171027,
10002,Saturday,20171028,
10002,Sunday,20171029,
10002,Monday,20171030,
10002,Tuesday,20171031,
10002,Wednesday,20171101,
10002,Thursday,20171102,
10002,Friday,20171103,
10002,Saturday,20171104,
10002,Sunday,20171105,
10002,Monday,20171106,
10002,Tuesday,20171107,
10002,Wednesday,20171108,
10002,Thursday,20171109,
10001,Wednesday,20171115,
10001,Thursday,20171116,
10001,Friday,20171117,
10001,Saturday,20171118,
10001,Sunday,20171119,
10001,Monday,20171120,
10001,Tuesday,20171121,
10001,Wednesday,20171122,
10001,Thursday,20171123,
10001,Friday,20171124,
10001,Saturday,20171125,
10001,Sunday,20171126,
10001,Monday,20171127,
10001,Tuesday,20171128,
10001,Wednesday,20171129,
10002,Wednesday,20171115,
10002,Thursday,20171116,
10002,Friday,20171117,
10002,Saturday,20171118,
10002,Sunday,20171119,
10002,Monday,20171120,
10002,Tuesday,20171121,
10002,Wednesday,20171122,
10002,Thursday,20171123,
10002,Friday,20171124,
10002,Saturday,20171125,
10002,Sunday,20171126,
10002,Monday,20171127,
10002,Tuesday,20171128,
10002,Wednesday,20171129,
